Scientific_Name	Common_Name
Orycteropus afer	aardvark
Proteles cristata	aardwolf
Hipposideros abae	Aba roundleaf bat
Malacocincla abbotti	Abbott's babbler
Cephalophus spadix	Abbott's duiker
Gymnothorax eurostus	Abbott's moray eel
Abbottina binhi	Abbottina binhi
Abbottina liaoningensis	Abbottina liaoningensis
Mugilogobius abei	Abe's mangrove goby
Chelonoidis abingdonii	Abingdon island giant tortoise
Glauconycteris poensis	Abo bat
Gastrotheca excubitor	Abra Acanacu marsupial frog
Abramis brama	Abramis brama orientalis
Planiliza abu	Abu mullet
Sarcocheilichthys biwaensis	abura-higai
Halosauropsis macrochir	abyssal halosaur
Rinoctes nasutus	abyssal smooth-head
Bucorvus abyssinicus	Abyssinian ground-hornbill
Melaenornis chocolatinus	Abyssinian slaty-flycatcher
Thallomys paedulcus	Acacia rat
Sebastes fasciatus	Acadian redfish
Accipiter gentilis	Accipiter gentilis fujiyamae
Accipiter gularis	Accipiter gularis iwasakii
Pleurodema kriegi	Achala four-eyed frog
Acheilognathus tabira	Acheilognathus tabira erythropterus
Acheilognathus tabira	Acheilognathus tabira jordani
Acheilognathus tabira	Acheilognathus tabira nakamurae
Acheilognathus tabira	Acheilognathus tabira tabira
Acheilognathus tabira	Acheilognathus tabira tohokuensis
Acanthurus achilles	Achilles tang
Acinonyx jubatus	Acinonyx jubatus jubatus
Acinonyx jubatus	Acinonyx jubatus soemmeringii
Acipenser baerii	Acipenser baerii baerii
Acipenser oxyrinchus	Acipenser oxyrinchus oxyrinchus
Dipturus tengu	acutenose skate
Pygoscelis adeliae	Adelie penguin
Cephalophus adersi	Aders's duiker
Pteropus admiralitatum	admiralty flying fox
Lycodes adolfi	Adolf's eelpout
Acipenser naccarii	Adriatic sturgeon
Salmo obtusirostris	Adriatic trout
Aegithalos caudatus	Aegithalos caudatus caudatus
Aegithalos concinnus	Aegithalos concinnus concinnus
Aegithalos concinnus	Aegithalos concinnus talifuensis
Aegithalos glaucogularis	Aegithalos glaucogularis vinaceus
Eviota afelei	Afele's fringefin goby
Calomyscus mystax	Afghan mouse-like hamster
Enteromius fasciolatus	African banded barb
Heterotis niloticus	African bonytongue
Syncerus caffer	African buffalo
Lophiobagrus cyclurus	African bullhead
Chaetodon dolosus	African butterflyfish
Hydrolagus africanus	African chimaera
Civettictis civetta	African civet
Xenopus laevis	African clawed frog
Aonyx capensis	African clawless otter
Podica senegalensis	African finfoot
